component,category,sourceSvg,riveComponent,requiredInQA,style,reference,colorBindings,tags,notes
Avatar_FullBody_Reference_CurlyAuburn,base_avatar,assets/svg/base_avatar/Avatar_FullBody_Reference_CurlyAuburn.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarHairBaseColor;avatarEyeIrisColor;avatarClothingPrimaryColor,reference;full-body,Full-body SVG based on the attached image.
Component_Head_Round,head,assets/svg/head/Component_Head_Round.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Head_Oval,head,assets/svg/head/Component_Head_Oval.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Head_Long,head,assets/svg/head/Component_Head_Long.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Head_Square,head,assets/svg/head/Component_Head_Square.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Head_Heart,head,assets/svg/head/Component_Head_Heart.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Head_Diamond,head,assets/svg/head/Component_Head_Diamond.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Head_SoftJaw,head,assets/svg/head/Component_Head_SoftJaw.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Head_StrongJaw,head,assets/svg/head/Component_Head_StrongJaw.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Body_Shoulders_Default,body,assets/svg/body/Component_Body_Shoulders_Default.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Body_Shoulders_Narrow,body,assets/svg/body/Component_Body_Shoulders_Narrow.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Body_Shoulders_Broad,body,assets/svg/body/Component_Body_Shoulders_Broad.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Body_Neck_Default,body,assets/svg/body/Component_Body_Neck_Default.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Body_Neck_Short,body,assets/svg/body/Component_Body_Neck_Short.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Body_Neck_Long,body,assets/svg/body/Component_Body_Neck_Long.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Face_Soft,face,assets/svg/face/Component_Face_Soft.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Face_Angular,face,assets/svg/face/Component_Face_Angular.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Face_Full,face,assets/svg/face/Component_Face_Full.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Face_Slim,face,assets/svg/face/Component_Face_Slim.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Face_Broad,face,assets/svg/face/Component_Face_Broad.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
